NAICS,SIC
337127,2599
337127,2599
339113,2599
322110,2611
322121,2611
322122,2611
322130,2611
322121,2621
322122,2621
322130,2631
322219,2652
322211,2653
322219,2655
322219,2656
322212,2657
322220,2671
326112,2671
322220,2672
322220,2673
326111,2673
322220,2674
322220,2675
322230,2675
322299,2675
322291,2676
322230,2677
322230,2678
322211,2679
322220,2679
322230,2679
322299,2679
511110,2711
519130,2711
511120,2721
519130,2721
511130,2731
512230,2731
519130,2731
323117,2732
511120,2741
511130,2741
511140,2741
511199,2741
512230,2741
519130,2741
323111,2752
323111,2752
323111,2754
323111,2759
323111,2759
323111,2759
323111,2759
323113,2759
323111,2761
323111,2771
323111,2771
323111,2771
323111,2771
323113,2771
511191,2771
519130,2771
323111,2782
323111,2782
323120,2789
323120,2791
323120,2796
325180,2812
325120,2813
325130,2816
325180,2816
211130,2819
325130,2819
325180,2819
325998,2819
331313,2819
325211,2821
325212,2822
325220,2823
325220,2824
325411,2833
325412,2834
325412,2835
325413,2835
325414,2836
325611,2841
325612,2842
325613,2843
325611,2844
325620,2844
325510,2851
325194,2861
325110,2865
325130,2865
325194,2865
325110,2869
325120,2869
325180,2869
325193,2869
325194,2869
325199,2869
325998,2869
325311,2873
325312,2874
325314,2875
325320,2879
325520,2891
325920,2892
325910,2893
325180,2895
311942,2899
325199,2899
325510,2899
325998,2899
324110,2911
324121,2951
324122,2952
324191,2992
324199,2999
326211,3011
316210,3021
326220,3052
339991,3053
326291,3061
326299,3061
313320,3069
314910,3069
315280,3069
315990,3069
326199,3069
326299,3069
336612,3069
339113,3069
339920,3069
339930,3069
326113,3081
326121,3082
326130,3083
326122,3084
326160,3085
326140,3086
326150,3086
325991,3087
326191,3088
326121,3089
326122,3089
326199,3089
336612,3089
337215,3089
339113,3089
316110,3111
316998,3131
321999,3131
339993,3131
316210,3142
316210,3143
316210,3144
316210,3149
314999,3151
314999,3151
315210,3151
315210,3151
315990,3151
316998,3161
316992,3171
316998,3172
339910,3172
316998,3199
327211,3211
327213,3221
327212,3229
327215,3231
327310,3241
327120,3251
327331,3251
327120,3253
327120,3255
327120,3259
327110,3261
327110,3262
327110,3263
327110,3264
327110,3269
327331,3271
327332,3272
327390,3272
327999,3272
327320,3273
327410,3274
327420,3275
327991,3281
327910,3291
332999,3291
327999,3292
336340,3292
336350,3292
212324,3295
212325,3295
212393,3295
212399,3295
327992,3295
327993,3296
327120,3297
327110,3299
327420,3299
327999,3299
324199,3312
331110,3312
331221,3312
331110,3313
331222,3315
332618,3315
331221,3316
331210,3317
331511,3321
331511,3322
331512,3324
331513,3325
331410,3331
331313,3334
331410,3339
331314,3341
331420,3341
331492,3341
331420,3351
331315,3353
331318,3354
331318,3355
331491,3356
331318,3357
331420,3357
331491,3357
335921,3357
335929,3357
331523,3363
331523,3364
331524,3365
331529,3366
331529,3369
332811,3398
331110,3399
331221,3399
331314,3399
331420,3399
331492,3399
332618,3399
332813,3399
332431,3411
332439,3412
332215,3421
332216,3421
332216,3423
332216,3425
332439,3429
332510,3429
332722,3429
332919,3429
332999,3429
333923,3429
334519,3429
336390,3429
337215,3429
332999,3431
332913,3432
332919,3432
332999,3432
333414,3433
332312,3441
332321,3442
332313,3443
332410,3443
332420,3443
333415,3443
332321,3444
332322,3444
332439,3444
333415,3444
332323,3446
332311,3448
332114,3449
332312,3449
332323,3449
332721,3451
332722,3452
332111,3462
332112,3463
336370,3465
332119,3466
332119,3469
332215,3469
332439,3469
332813,3471
332812,3479
339910,3479
339910,3479
339910,3479
332992,3482
332993,3483
332994,3484
332994,3489
332911,3491
332912,3492
332613,3493
332919,3494
332999,3494
332613,3495
334519,3495
332215,3496
332618,3496
333924,3496
322220,3497
332999,3497
332996,3498
332117,3499
332439,3499
332510,3499
332919,3499
332999,3499
336360,3499
337215,3499
333611,3511
333618,3519
336390,3519
332216,3523
332323,3523
333111,3523
333922,3523
332216,3524
333112,3524
333120,3531
333923,3531
336510,3531
333131,3532
333132,3533
333921,3534
333922,3535
333923,3536
332439,3537
332999,3537
333924,3537
333517,3541
333517,3542
332999,3543
333511,3544
333514,3544
332216,3545
333515,3545
333991,3546
333519,3547
333992,3548
335311,3548
333519,3549
333249,3552
333243,3553
333243,3554
333244,3555
333241,3556
332410,3559
333111,3559
333242,3559
333249,3559
333249,3559
333318,3559
333914,3561
332991,3562
333912,3563
333413,3564
333413,3564
333993,3565
333612,3566
333994,3567
333613,3568
314999,3569
333414,3569
333999,3569
334111,3571
334112,3572
334118,3575
333316,3577
334118,3577
334418,3577
334613,3577
333316,3578
333318,3578
333318,3578
334118,3578
333318,3579
334519,3579
339940,3579
333318,3581
333318,3582
333415,3585
336390,3585
333914,3586
333318,3589
336310,3592
333995,3593
333996,3594
333997,3596
332710,3599
332813,3599
332999,3599
333318,3599
333999,3599
334519,3599
336390,3599
335311,3612
335313,3613
335312,3621
335991,3624
335314,3625
335999,3629
335220,3631
335220,3632
335220,3633
333414,3634
335210,3634
339999,3634
335210,3635
333249,3639
335210,3639
335220,3639
335110,3641
335931,3643
332216,3644
335932,3644
335121,3645
335122,3646
336320,3647
335129,3648
334310,3651
334614,3652
512250,3652
334210,3661
334418,3661
334220,3663
334515,3663
334290,3669
334419,3671
334412,3672
334413,3674
334416,3675
334416,3676
334416,3677
334417,3678
334220,3679
334310,3679
334418,3679
334419,3679
334515,3679
335911,3691
335912,3692
336320,3694
334613,3695
333318,3699
333618,3699
333992,3699
335129,3699
335999,3699
336111,3711
336112,3711
336120,3711
336211,3711
336992,3711
336211,3713
336211,3714
336310,3714
336320,3714
336330,3714
336340,3714
336350,3714
336390,3714
336212,3715
336213,3716
336411,3721
541713,3721
336412,3724
541713,3724
332912,3728
336411,3728
336413,3728
541713,3728
